"Target_Label";"Source_Label";"Source";"Target";"N_twitter";"aristas_key"
"Pablo_Iglesias_";"noeliadguez45";10;1;2;"10-1"
"pepito_grillo55";"196193Jose";100;170;1;"100-170"
"logela";"196193Jose";100;171;1;"100-171"
"MDELAO";"196193Jose";100;173;1;"100-173"
"ierrejon";"196193Jose";100;93;3;"100-93"
"ferdeparamo";"coconut2410";1000;1698;1;"1000-1698"
"Gerrard_G_18";"coconut2410";1000;1738;1;"1000-1738"
"solete74";"coconut2410";1000;1743;1;"1000-1743"
"Albert_Rivera";"coconut2410";1000;953;1;"1000-953"
"Albert_Rivera";"malonsocs";1001;953;1;"1001-953"
"Albert_Rivera";"gloriaferrermat";1002;953;1;"1002-953"
"Albert_Rivera";"tutidecadi";1003;953;1;"1003-953"
"Albert_Rivera";"Matamoros1990";1004;953;1;"1004-953"
"Albert_Rivera";"xaviontanaya";1005;953;1;"1005-953"
"Albert_Rivera";"zarragamagaly";1006;953;1;"1006-953"
"Albert_Rivera";"milacarra";1007;953;1;"1007-953"
"Albert_Rivera";"FerranFbm";1008;953;1;"1008-953"
"Albert_Rivera";"jveralv";1009;953;1;"1009-953"
"SenoritaPuri";"OS_IN";101;413;1;"101-413"
"ierrejon";"OS_IN";101;93;1;"101-93"
"ferdeparamo";"valeropmj";1010;1698;1;"1010-1698"
"Albert_Rivera";"valeropmj";1010;953;1;"1010-953"
"Albert_Rivera";"diandraydeborah";1011;953;1;"1011-953"
"Albert_Rivera";"AmggAna";1012;953;1;"1012-953"
"Albert_Rivera";"geminis_aslin";1013;953;1;"1013-953"
"Albert_Rivera";"alejandragars";1014;953;1;"1014-953"
"ferdeparamo";"Cs_Cordoba";1015;1698;1;"1015-1698"
"Gerrard_G_18";"Cs_Cordoba";1015;1738;1;"1015-1738"
"Albert_Rivera";"Cs_Cordoba";1015;953;1;"1015-953"
"Albert_Rivera";"CsSalou";1016;953;1;"1016-953"
"ferdeparamo";"Cs_ElViso";1017;1698;1;"1017-1698"
"Albert_Rivera";"Cs_ElViso";1017;953;1;"1017-953"
"ferdeparamo";"AngelesVzn";1018;1698;1;"1018-1698"
"Albert_Rivera";"AngelesVzn";1018;953;1;"1018-953"
"Albert_Rivera";"ciudadanonando";1019;953;1;"1019-953"
"ierrejon";"pep_mila";102;93;1;"102-93"
"Albert_Rivera";"BrigTBarcelona";1020;953;1;"1020-953"
"Albert_Rivera";"nuriaciudadana";1021;953;1;"1021-953"
"Albert_Rivera";"dolores_ciudad";1022;953;1;"1022-953"
"Albert_Rivera";"OscarLafuente72";1023;953;1;"1023-953"
"Albert_Rivera";"domenech_gomez";1024;953;1;"1024-953"
"ferdeparamo";"ChonRoldanP";1025;1698;1;"1025-1698"
"Gerrard_G_18";"ChonRoldanP";1025;1738;1;"1025-1738"
"solete74";"ChonRoldanP";1025;1743;1;"1025-1743"
"Albert_Rivera";"ChonRoldanP";1025;953;1;"1025-953"
"ferdeparamo";"PinoMteresa";1026;1698;1;"1026-1698"
"Albert_Rivera";"PinoMteresa";1026;953;1;"1026-953"
"ferdeparamo";"FrancisRubioGme";1027;1698;1;"1027-1698"
"Albert_Rivera";"FrancisRubioGme";1027;953;1;"1027-953"
"ferdeparamo";"Simpatiz_naranj";1028;1698;1;"1028-1698"
"solete74";"Simpatiz_naranj";1028;1743;1;"1028-1743"
"Albert_Rivera";"Simpatiz_naranj";1028;953;1;"1028-953"
"ferdeparamo";"JUCASMC";1029;1698;1;"1029-1698"
"Albert_Rivera";"JUCASMC";1029;953;1;"1029-953"
"ierrejon";"ardevaasf";103;93;1;"103-93"
"Albert_Rivera";"miguelgcl";1030;953;1;"1030-953"
"Albert_Rivera";"social3c";1031;953;1;"1031-953"
"ferdeparamo";"CsVegasDelGenil";1032;1698;1;"1032-1698"
"Gerrard_G_18";"CsVegasDelGenil";1032;1738;1;"1032-1738"
"solete74";"CsVegasDelGenil";1032;1743;1;"1032-1743"
"Albert_Rivera";"CsVegasDelGenil";1032;953;1;"1032-953"
"Cs_Soria_";"VVivaespana";1033;1048;1;"1033-1048"
"Albert_Rivera";"VVivaespana";1033;953;1;"1033-953"
"Albert_Rivera";"CaleroFederico";1034;953;1;"1034-953"
"ferdeparamo";"VicenteBuades";1035;1698;1;"1035-1698"
"Albert_Rivera";"VicenteBuades";1035;953;1;"1035-953"
"Albert_Rivera";"CsAntequera";1036;953;1;"1036-953"
"Albert_Rivera";"caguimore";1037;953;1;"1037-953"
"Albert_Rivera";"angel_ligero";1038;953;1;"1038-953"
"Albert_Rivera";"Cs_Macarena";1039;953;1;"1039-953"
"ierrejon";"SC_Deon";104;93;1;"104-93"
"Albert_Rivera";"Ryderfunes";1040;953;1;"1040-953"
"Albert_Rivera";"josega34";1041;953;1;"1041-953"
"Albert_Rivera";"Cristissa1";1042;953;1;"1042-953"
"Albert_Rivera";"Sainz_Robles";1043;953;1;"1043-953"
"Albert_Rivera";"FranciscoMFerre";1044;953;1;"1044-953"
"Albert_Rivera";"ManuelMarotoS";1045;953;1;"1045-953"
"CGonzalvezz";"ampamuber";1047;1046;1;"1047-1046"
"ierrejon";"juanpriba";105;93;1;"105-93"
"CsAlicante_C";"YanethGiraldoJ";1050;1049;3;"1050-1049"
"CsAlicante_C";"elsaylian";1051;1049;3;"1051-1049"
"marianorajoy";"PPopular";1052;710;1;"1052-710"
"PPopular";"TristanaMg";1053;1052;1;"1053-1052"
"PPopular";"REscolaMarco";1054;1052;5;"1054-1052"
"ANDRES_CANO42";"REscolaMarco";1054;1113;1;"1054-1113"
"silperezplaza";"REscolaMarco";1054;1120;1;"1054-1120"
"MarIntegracion";"REscolaMarco";1054;1121;1;"1054-1121"
"elisanieto73";"REscolaMarco";1054;190;1;"1054-190"
"PopularesSMRA";"REscolaMarco";1054;702;1;"1054-702"
"TBravoDuran";"REscolaMarco";1054;794;1;"1054-794"
"PPopular";"carmen_deespana";1055;1052;1;"1055-1052"
"marianorajoy";"carmen_deespana";1055;710;1;"1055-710"
"PPopular";"Alberto_Tome";1056;1052;3;"1056-1052"
"PPopular";"isabelmoreno_mo";1057;1052;1;"1057-1052"
"PPopular";"JorgeCalvo1974";1058;1052;3;"1058-1052"
"PPopular";"SusanaLorenzo";1059;1052;3;"1059-1052"
"ierrejon";"13ro8";106;93;1;"106-93"
"PPopular";"currusquita";1060;1052;1;"1060-1052"
"ANDRES_CANO42";"currusquita";1060;1113;2;"1060-1113"
"PPopular";"gonzalezgam";1061;1052;3;"1061-1052"
"PPopular";"NietoTocino";1062;1052;5;"1062-1052"
"JavierMaroto";"NietoTocino";1062;179;1;"1062-179"
"PPopular";"PP_Ubrique";1063;1052;5;"1063-1052"
"PPopular";"NNGGUbrique";1064;1052;4;"1064-1052"
"PPopular";"vicgondor";1065;1052;2;"1065-1052"
"ierrejon";"vicgondor";1065;93;1;"1065-93"
"PPopular";"mariajsusinos";1066;1052;4;"1066-1052"
"ANDRES_CANO42";"mariajsusinos";1066;1113;1;"1066-1113"
"Merchedemelilla";"mariajsusinos";1066;1118;1;"1066-1118"
"AjmdeDE";"mariajsusinos";1066;1793;6;"1066-1793"
"nnggtoledo";"mariajsusinos";1066;2445;1;"1066-2445"
"PPopular";"JAB_CHEMA";1067;1052;1;"1067-1052"
"PPopular";"pptetuan";1068;1052;1;"1068-1052"
"PPopular";"a_diazemmitt";1069;1052;1;"1069-1052"
"ierrejon";"Manuelvllp";107;93;3;"107-93"
"PPopular";"antoniop_perez";1070;1052;1;"1070-1052"
"PPopular";"PaquitaGallegoM";1071;1052;8;"1071-1052"
"ANDRES_CANO42";"PaquitaGallegoM";1071;1113;1;"1071-1113"
"marianorajoy";"PaquitaGallegoM";1071;710;1;"1071-710"
"PPopular";"PPLoeches";1072;1052;1;"1072-1052"
"PPopular";"Sheila_M_16";1073;1052;3;"1073-1052"
"PPopular";"MBlancaMz";1074;1052;2;"1074-1052"
"PPopular";"PPdeLugo";1075;1052;11;"1075-1052"
"PPopular";"ppcv";1076;1052;11;"1076-1052"
"PPopular";"DaviniaBono";1077;1052;11;"1077-1052"
"PPopular";"marianopostigo";1078;1052;7;"1078-1052"
"PPopular";"AIsabelPita";1079;1052;1;"1079-1052"
"ierrejon";"Azul_Mar_Cielo";108;93;1;"108-93"
"PPopular";"sonarportosin";1080;1052;1;"1080-1052"
"PPopular";"FollowBackPP724";1081;1052;11;"1081-1052"
"marianorajoy";"FollowBackPP724";1081;710;1;"1081-710"
"PPopular";"PPPaternadelCpo";1082;1052;1;"1082-1052"
"PPopular";"rgonzalcor";1083;1052;3;"1083-1052"
"PPopular";"danicorderom";1084;1052;2;"1084-1052"
"lourdestamayor";"danicorderom";1084;1301;39;"1084-1301"
"PPopular";"1969Mont";1085;1052;3;"1085-1052"
"PPopular";"juan59fn";1086;1052;1;"1086-1052"
"PPopular";"lalypulido";1087;1052;1;"1087-1052"
"PPopular";"lasciateognespe";1088;1052;1;"1088-1052"
"PPopular";"aller_nngg";1089;1052;14;"1089-1052"
"SenoritaPuri";"perfilqueperfil";109;413;1;"109-413"
"ahorapodemos";"perfilqueperfil";109;821;1;"109-821"
"ierrejon";"perfilqueperfil";109;93;1;"109-93"
"PPopular";"aramirezSyM";1090;1052;2;"1090-1052"
"PPopular";"LSacedaG";1091;1052;2;"1091-1052"
"PPopular";"PPMelilla";1092;1052;7;"1092-1052"
"PPopular";"manuelverdejo";1093;1052;6;"1093-1052"
"PPopular";"anunezvelazquez";1094;1052;1;"1094-1052"
"PPopular";"SilviaCruzM";1095;1052;4;"1095-1052"
"PPopular";"Javi_Barrena";1096;1052;12;"1096-1052"
"marianorajoy";"Javi_Barrena";1096;710;1;"1096-710"
"PPopular";"perezmuriana1";1097;1052;1;"1097-1052"
"PPopular";"josepmarpal";1098;1052;12;"1098-1052"
"PPopular";"Roberhik89";1099;1052;11;"1099-1052"
"marianorajoy";"Roberhik89";1099;710;1;"1099-710"
"Pablo_Iglesias_";"Roberthetruth";11;1;1;"11-1"
"logela";"indignado36";110;171;1;"110-171"
"MDELAO";"indignado36";110;173;1;"110-173"
"ierrejon";"indignado36";110;93;1;"110-93"
"PPopular";"cfcuartero1";1100;1052;1;"1100-1052"
"PPopular";"francis20420741";1101;1052;2;"1101-1052"
"PPopular";"gariz_e";1102;1052;2;"1102-1052"
"PPopular";"cristinatavio";1103;1052;1;"1103-1052"
"marianorajoy";"cristinatavio";1103;710;1;"1103-710"
"PPopular";"suradjona";1104;1052;1;"1104-1052"
"PPopular";"ppdebrenes";1105;1052;1;"1105-1052"
"PPopular";"ivonnediaz2203";1106;1052;2;"1106-1052"
"PPopular";"pedronavarrol";1107;1052;1;"1107-1052"
"marianorajoy";"pedronavarrol";1107;710;1;"1107-710"
"PPopular";"NNGG_Es";1108;1052;2;"1108-1052"
"PPopular";"crisostomo_1";1109;1052;1;"1109-1052"
"ierrejon";"siuL105TN";111;93;1;"111-93"
"PPopular";"ferraguda58";1110;1052;1;"1110-1052"
"PPopular";"Pilar_melilla";1111;1052;7;"1111-1052"
"PPopular";"LUCHO_LLTLL";1112;1052;2;"1112-1052"
"silperezplaza";"ANDRES_CANO42";1113;1120;9;"1113-1120"
"elisanieto73";"ANDRES_CANO42";1113;190;1;"1113-190"
"PPopular";"angelgg967";1114;1052;2;"1114-1052"
"ANDRES_CANO42";"angelgg967";1114;1113;1;"1114-1113"
"joosearodriguez";"angelgg967";1114;1116;1;"1114-1116"
"MarIntegracion";"angelgg967";1114;1121;1;"1114-1121"
"JavierMaroto";"angelgg967";1114;179;1;"1114-179"
"ANDRES_CANO42";"JRZ711";1115;1113;1;"1115-1113"
"alvaritooo2";"joosearodriguez";1116;1575;1;"1116-1575"
"joosearodriguez";"jc_vva";1117;1116;1;"1117-1116"
"elisanieto73";"jc_vva";1117;190;22;"1117-190"
"PPopular";"lolibaeza";1119;1052;1;"1119-1052"
"Merchedemelilla";"lolibaeza";1119;1118;4;"1119-1118"
"marianorajoy";"lolibaeza";1119;710;1;"1119-710"
"iunida";"Guardarecuerdos";112;2238;1;"112-2238"
"ierrejon";"Guardarecuerdos";112;93;1;"112-93"
"PPopular";"MarIntegracion";1121;1052;1;"1121-1052"
"silperezplaza";"MarIntegracion";1121;1120;1;"1121-1120"
"EvaGarciaCarras";"MarIntegracion";1121;1803;1;"1121-1803"
"jotaele65";"MarIntegracion";1121;777;1;"1121-777"
"silperezplaza";"Jessicaleonver";1122;1120;1;"1122-1120"
"silperezplaza";"Mdoloresdv";1123;1120;1;"1123-1120"
"JavierMaroto";"Mdoloresdv";1123;179;1;"1123-179"
"silperezplaza";"tobeto96";1124;1120;1;"1124-1120"
"MarIntegracion";"ArroyoPepi";1125;1121;1;"1125-1121"
"PPopular";"dori58";1126;1052;4;"1126-1052"
"MarIntegracion";"dori58";1126;1121;1;"1126-1121"
"jotaele65";"dori58";1126;777;2;"1126-777"
"PPopular";"OrtizIgual";1127;1052;2;"1127-1052"
"MarIntegracion";"OrtizIgual";1127;1121;1;"1127-1121"
"esahora2015";"CQPMalaga";1128;2683;37;"1128-2683"
"ahorapodemos";"CQPMalaga";1128;821;1;"1128-821"
"ahorapodemos";"annoukam";1129;821;1;"1129-821"
"SenoritaPuri";"Kikekom";113;413;1;"113-413"
"ierrejon";"Kikekom";113;93;1;"113-93"
"ahorapodemos";"amanda_mng";1130;821;2;"1130-821"
"ahorapodemos";"rafaotalmur";1131;821;1;"1131-821"
"esahora2015";"jacusna";1132;2683;37;"1132-2683"
"ahorapodemos";"jacusna";1132;821;1;"1132-821"
"ferdeparamo";"David13ce";1133;1698;1;"1133-1698"
"ahorapodemos";"David13ce";1133;821;1;"1133-821"
"ahorapodemos";"charadandonga";1134;821;1;"1134-821"
"UPyD";"GenteDelCambio";1135;1595;1;"1135-1595"
"ahorapodemos";"GenteDelCambio";1135;821;1;"1135-821"
"ahorapodemos";"Txoliko";1136;821;1;"1136-821"
"ahorapodemos";"fnando71";1137;821;2;"1137-821"
"Isabel_amanecer";"Teresa_Lisbonn";1138;130;9;"1138-130"
"ahorapodemos";"Teresa_Lisbonn";1138;821;1;"1138-821"
"esahora2015";"astroisa13";1139;2683;37;"1139-2683"
"ahorapodemos";"astroisa13";1139;821;1;"1139-821"
"ierrejon";"astroisa13";1139;93;1;"1139-93"
"ierrejon";"mlfidalgo13";114;93;1;"114-93"
"ahorapodemos";"Carmen1Alvarado";1140;821;1;"1140-821"
"ahorapodemos";"daniello131980";1141;821;1;"1141-821"
"Isabel_amanecer";"jesus_rius";1142;130;9;"1142-130"
"ahorapodemos";"jesus_rius";1142;821;1;"1142-821"
"ahorapodemos";"gloyinyang";1143;821;1;"1143-821"
"ahorapodemos";"IslaDencanta";1144;821;1;"1144-821"
"ahorapodemos";"isa_varlet";1145;821;1;"1145-821"
"Isabel_amanecer";"hay_que_cambiar";1146;130;9;"1146-130"
"ahorapodemos";"hay_que_cambiar";1146;821;1;"1146-821"
"Isabel_amanecer";"si_k_podemos";1147;130;9;"1147-130"
"ahorapodemos";"si_k_podemos";1147;821;1;"1147-821"
"ahorapodemos";"martaechev";1148;821;1;"1148-821"
"ahorapodemos";"1942Gonzalez";1149;821;1;"1149-821"
"ierrejon";"FValderasJR";115;93;1;"115-93"
"ahorapodemos";"GonzaloperezGC";1150;821;1;"1150-821"
"ahorapodemos";"mabar_tinla";1151;821;1;"1151-821"
"ahorapodemos";"BloglandB";1152;821;1;"1152-821"
"ahorapodemos";"manueladetriana";1153;821;1;"1153-821"
"ahorapodemos";"Elaedas";1154;821;1;"1154-821"
"ahorapodemos";"maricar35742273";1155;821;1;"1155-821"
"ahorapodemos";"tomas_rosana";1156;821;1;"1156-821"
"ahorapodemos";"telebruticies";1157;821;1;"1157-821"
"ahorapodemos";"Xapako1";1158;821;1;"1158-821"
"ahorapodemos";"jlazaro";1159;821;1;"1159-821"
"ierrejon";"_PacoCastillo_";116;93;2;"116-93"
"ahorapodemos";"Lorena_XVIII";1160;821;1;"1160-821"
"ahorapodemos";"somos_arganda";1161;821;1;"1161-821"
"ahorapodemos";"MovilMilagros";1162;821;1;"1162-821"
"ahorapodemos";"11csanm";1163;821;1;"1163-821"
"ahorapodemos";"blayams";1164;821;1;"1164-821"
"blayams";"albajoa";1165;1164;1;"1165-1164"
"blayams";"MariaJosMolina1";1166;1164;1;"1166-1164"
"sosvzlalibertad";"MariaJosMolina1";1166;1177;1;"1166-1177"
"RenePerle";"MariaJosMolina1";1166;1186;1;"1166-1186"
"blayams";"carmenomaa";1167;1164;1;"1167-1164"
"blayams";"DORY0203";1168;1164;1;"1168-1164"
"blayams";"nika_iru";1169;1164;3;"1169-1164"
"Isabel_amanecer";"nika_iru";1169;130;9;"1169-130"
"ierrejon";"cruzjosemaria1";117;93;1;"117-93"
"blayams";"AURELIAJEREZ";1170;1164;1;"1170-1164"
"sosvzlalibertad";"AURELIAJEREZ";1170;1177;1;"1170-1177"
"Isabel_amanecer";"AURELIAJEREZ";1170;130;9;"1170-130"
"PdmIllesBalears";"samasahati";1172;1171;1;"1172-1171"
"alvarora78";"JoseRodriguezdG";1174;1173;1;"1174-1173"
"JavierMaroto";"CorrupcionZero";1175;179;1;"1175-179"
"CorrupcionZero";"DuroBelinda";1176;1175;1;"1176-1175"
"mariagv";"sosvzlalibertad";1177;2316;1;"1177-2316"
"ahorapodemos";"sosvzlalibertad";1177;821;1;"1177-821"
"sosvzlalibertad";"jrgallegog";1178;1177;1;"1178-1177"
"sosvzlalibertad";"manumorente";1179;1177;1;"1179-1177"
"ierrejon";"maesquella";118;93;2;"118-93"
"sosvzlalibertad";"lucaM18";1180;1177;1;"1180-1177"
"sosvzlalibertad";"MarcosUlpio";1181;1177;1;"1181-1177"
"sosvzlalibertad";"pedro13494";1182;1177;1;"1182-1177"
"sosvzlalibertad";"palomagp65";1183;1177;1;"1183-1177"
"PodemLlucmajor";"podemponent";1185;1184;1;"1185-1184"
"ahorapodemos";"RenePerle";1186;821;1;"1186-821"
"RenePerle";"cristinacalgary";1187;1186;1;"1187-1186"
"RenePerle";"AlegraAlonso";1188;1186;1;"1188-1186"
"mariagv";"AlegraAlonso";1188;2316;1;"1188-2316"
"Isabel_amanecer";"carnerero63";1189;130;9;"1189-130"
"ierrejon";"22_dur";119;93;1;"119-93"
"Isabel_amanecer";"efebon";1190;130;9;"1190-130"
"marianorajoy";"Acechador_malo";1191;710;1;"1191-710"
"PPopular";"iguerratorre";1192;1052;1;"1192-1052"
"marianorajoy";"iguerratorre";1192;710;1;"1192-710"
"marianorajoy";"iPopularTeam";1193;710;1;"1193-710"
"marianorajoy";"AlzaYacila";1194;710;2;"1194-710"
"marianorajoy";"31jesus3117";1195;710;1;"1195-710"
"PPopular";"anamadrazo61";1196;1052;1;"1196-1052"
"marianorajoy";"anamadrazo61";1196;710;1;"1196-710"
"marianorajoy";"PPCABANILLAS";1197;710;1;"1197-710"
"marianorajoy";"JaimeCelada";1198;710;1;"1198-710"
"nnggtoledo";"EscartinMarta";1199;2445;1;"1199-2445"
