"Label";"followers";"location";"country";"id"
"Pablo_Iglesias_";1331937;"Madrid";"es";1
"FelipeBusquets";1385;"Edinburgh";"es";2
"jl2015cambio";173;"not public";"es";3
"iberianproteus";162;"Dublin";"es";4
"jj_medinas";727;"not public";"es";5
"JaraRebollo";29;"not public";"es";6
"prigonme";281;"espa–a";"es";7
"1X10_activista";585;"Santa cruz de Tenerife";"es";8
"BaselgaJorge";11;"not public";"es";9
"noeliadguez45";125;"not public";"es";10
"Roberthetruth";68;"Madrid";"es";11
"martisugo";560;"not public";"es";12
"superevil6666";23;"not public";"es";13
"godeleon";132;"not public";"es";14
"LeonardoLoredo1";136;"Asturias";"es";15
"xinasc";254;"not public";"es";16
"HernandoIrene";754;"not public";"es";17
"Soylagemma";76;"not public";"es";18
"angeles43549166";63;"not public";"es";19
"manuelaibanez92";76;"not public";"es";20
"RamiroFidela";105;"alcobendas";"es";21
"pereraanaya";199;"not public";"es";22
"PortoPar";85;"not public";"es";23
"1960Anamari";666;"not public";"es";24
"carlosleon_89";184;"Sevilla";"es";25
"remebrv";87;"not public";"es";26
"bonanova10";70;"not public";"es";27
"f1b833740a1a4ea";161;"not public";"es";28
"cdecastro1974";98;"Madrid";"es";29
"IMPECABLE10";350;"not public";"es";30
"RMV73";83;"calle La Fuente,28";"es";31
"NuevaAxarquia";585;"V_lez-M‡laga";"es";32
"castilla923";2823;"Madrid / Salamanca [ Castilla ]";"es";33
"mayteromerorico";1103;"en la tierra";"es";34
"asanint";599;"not public";"es";35
"maximors63";2553;"Las Palmas de Gran Canaria";"es";36
"ProyectoChina";1468;"not public";"es";37
"sikokosmik";470;"not public";"es";38
"YORYO25MD";481;"Madrid, Comunidad de Madrid";"es";39
"lavosqui";205;"not public";"es";40
"Interpretae";412;"#EstafaTTIP";"es";41
"CompromisPodem";386;"Madrid";"es";42
"muchos_planetas";150;"not public";"es";43
"PodemosLaPoblaV";712;"La Pobla de Vallbona";"es";44
"percentilx";466;"not public";"es";45
"elyfiara48a";3;"not public";"es";46
"PodemosCeuti";327;"not public";"es";47
"gelucaa";91;"Santiago de Compostela, Galicia";"es";48
"sepere1986";146;"not public";"es";49
"kaesarboiisss";1443;"not public";"es";50
"SanJavierPuede";620;"San Javier, Murcia, Espa–a";"es";51
"AngGomz";10307;"not public";"es";52
"estoyakiok";8530;"SEXTETE";"es";53
"MariemmaGarciaR";952;"not public";"es";54
"nabilu2";2258;"En un lugar llamado Mundo";"es";55
"Ping57";117;"Gran‡";"es";56
"anguex";1015;"Espa–a";"es";57
"RomanAlbero";205;"not public";"es";58
"Castro0M";1031;"Murcia";"es";59
"LaperrinaChispi";183;"cerca del precipicio";"es";60
"Franciscoalbaca";115;"not public";"es";61
"LuisaB27101954";438;"not public";"es";62
"AlisesRosario";27;"not public";"es";63
"podemosFuengi";1767;"FACEBOOK OFICIAL";"es";64
"efrainreiser";446;"All over the world.....";"es";65
"jesusferrergarc";4;"not public";"es";66
"lafava";693;"Pais Valenci‡";"es";67
"angsimpa";2705;"not public";"es";68
"Insistir";2637;"not public";"es";69
"CuriosaMD";968;"Espa–a";"es";70
"alber_tic";1772;"not public";"es";71
"fernandorodlop1";2;"not public";"es";72
